Datum;Uhrzeit;Biomasse[MWh];Wasserkraft[MWh];Wind Offshore[MWh];Wind Onshore[MWh];Photovoltaik[MWh];Sonstige Erneuerbare[MWh];Kernenergie[MWh];Braunkohle[MWh];Steinkohle[MWh];Erdgas[MWh];Pumpspeicher[MWh];Sonstige Konventionelle[MWh]
01.10.2018;00:00;1.127,5;334;361;1.058;0;36;1.981,25;3.894;1.985;844;69;406
01.10.2018;00:15;1.126,25;334,25;367;1.066;0;36;1.981,5;3.897;1.967;848;70;405
01.10.2018;00:30;1.126;310,25;396;1.070;0;36;1.974,5;3.889;2.008;849;49;406
01.10.2018;00:45;1.122,5;300,5;502;1.048;0;36;1.957;3.866;1.986;842;49;405
01.10.2018;01:00;1.119;323,25;529;1.015;0;36;1.980,5;3.897;1.981;807;49;402
01.10.2018;01:15;1.115,75;310,75;511;1.010;0;36;1.977;3.900;1.976;810;49;402
01.10.2018;01:30;1.121,25;304,5;517;976;0;36;1.977,5;3.906;1.923;816;49;402
01.10.2018;01:45;1.117,25;301,75;528;958;0;36;1.972;3.903;1.882;816;49;401
01.10.2018;02:00;1.121,75;315,75;491;957;0;36;1.986,5;3.921;1.821;831;49;405
01.10.2018;02:15;1.120,5;307,5;537;967;0;36;1.981,5;3.922;1.856;833;49;406
01.10.2018;02:30;1.117,75;301,75;545;967;0;36;1.980,75;3.919;1.928;836;49;404
01.10.2018;02:45;1.119;301,5;572;986;0;36;1.978,25;3.925;1.953;829;49;402
01.10.2018;03:00;1.118,75;317;558;989;0;36;1.972;3.937;1.972;789;49;403
01.10.2018;03:15;1.116,75;316,5;490;1.016;0;36;1.958;3.936;1.978;791;49;405
01.10.2018;03:30;1.117,5;303;540;1.047;0;36;1.959,5;3.941;1.985;794;49;406
01.10.2018;03:45;1.115,75;300,5;614;1.090;0;36;1.947,5;3.939;1.989;798;49;406
01.10.2018;04:00;1.115;308,75;675;1.113;0;36;1.956,75;3.958;1.966;830;49;407
01.10.2018;04:15;1.119,75;307,25;627;1.130;0;36;1.950,75;3.954;1.993;835;49;406
