time,Biomass,Hydropower,Offshore Wind,Onshore Wind,Solar,Other Renewables,Nuclear,Brown Coal,Black Coal,Natural Gas,Pumped-Storage Hydro,Other Conventional Sources,Wind,Price,Solar & Wind
2019-01-01 00:00:00,1232.6875,389.5,784.25,4999.0,0.0,32.0,2250.375,1583.75,703.25,818.75,69.0,395.5,5783.25,28.32,5783.25
2019-01-01 01:00:00,1226.0,388.4375,717.25,5509.25,0.0,32.0,2133.8125,1345.0,601.25,742.0,33.5,385.0,6226.5,10.07,6226.5
2019-01-01 02:00:00,1216.625,377.75,615.0,5687.25,0.0,32.0,1988.5,1335.75,557.25,680.25,38.5,370.75,6302.25,-4.08,6302.25
2019-01-01 03:00:00,1216.4375,373.6875,674.75,5967.5,0.0,32.0,1805.4375,1317.75,589.25,663.25,0.0,368.25,6642.25,-9.91,6642.25
2019-01-01 04:00:00,1216.8125,364.5625,644.5,6480.5,0.0,31.0,1780.0,1294.75,577.0,676.75,1.0,369.75,7125.0,-7.41,7125.0
2019-01-01 05:00:00,1214.9375,346.25,595.0,6857.5,0.0,31.0,1765.1875,1269.25,578.0,680.25,0.5,371.0,7452.5,-12.55,7452.5
2019-01-01 06:00:00,1217.0625,354.0625,482.75,7271.75,0.0,31.0,1758.8125,1268.25,539.75,678.75,4.5,370.5,7754.5,-17.25,7754.5
2019-01-01 07:00:00,1220.375,358.0,511.25,7476.75,0.0,31.0,1793.25,1259.75,545.75,705.25,8.25,369.0,7988.0,-15.07,7988.0
2019-01-01 08:00:00,1225.25,361.5,552.25,7609.75,21.25,31.0,1788.875,1229.75,567.0,714.5,8.5,366.25,8162.0,-4.93,8183.25
2019-01-01 09:00:00,1225.25,370.8125,518.75,7550.0,145.75,31.0,1747.5,1232.0,660.75,716.25,8.75,369.25,8068.75,-6.33,8214.5
2019-01-01 10:00:00,1227.1875,383.875,539.0,7828.0,342.25,31.0,1659.9375,1237.25,674.25,720.75,12.5,369.0,8367.0,-4.93,8709.25
2019-01-01 11:00:00,1226.1875,393.375,680.5,8247.75,513.5,31.0,1677.125,1229.75,690.25,743.0,12.75,369.25,8928.25,0.45,9441.75
2019-01-01 12:00:00,1226.875,400.125,630.25,8345.0,558.0,31.0,1738.5625,1236.5,702.25,739.5,13.0,369.5,8975.25,0.12,9533.25
2019-01-01 13:00:00,1226.0,393.0,571.0,8543.0,501.75,31.0,1738.1875,1238.5,703.0,718.75,47.25,369.25,9114.0,-0.02,9615.75
2019-01-01 14:00:00,1225.75,401.5,561.25,8656.25,324.5,31.0,1754.125,1240.25,703.0,719.25,43.25,369.75,9217.5,0.0,9542.0
